filename,label
atomic_0_0.jpg,0
atomic_1_0.jpg,1
atomic_2_0.jpg,2
atomic_4_0.jpg,4
atomic_5_0.jpg,5
atomic_6_0.jpg,6
atomic_7_0.jpg,7
atomic_8_0.jpg,8
atomic_10_0.jpg,10
atomic_14_0.jpg,14
atomic_15_0.jpg,15
atomic_16_0.jpg,16
atomic_17_0.jpg,17
atomic_18_0.jpg,18
atomic_19_0.jpg,19
atomic_20_0.jpg,20
atomic_21_0.jpg,21
atomic_22_0.jpg,22
atomic_23_0.jpg,23
atomic_24_0.jpg,24
atomic_25_0.jpg,25
atomic_26_0.jpg,26
atomic_27_0.jpg,27
atomic_28_0.jpg,28
atomic_29_0.jpg,29
atomic_30_0.jpg,30
atomic_31_0.jpg,31
atomic_32_0.jpg,32
atomic_33_0.jpg,33
atomic_34_0.jpg,34
atomic_35_0.jpg,35
atomic_36_0.jpg,36
atomic_0_1.jpg,0
atomic_1_1.jpg,1
atomic_2_1.jpg,2
atomic_4_1.jpg,4
atomic_5_1.jpg,5
atomic_6_1.jpg,6
atomic_7_1.jpg,7
atomic_8_1.jpg,8
atomic_10_1.jpg,10
atomic_14_1.jpg,14
atomic_15_1.jpg,15
atomic_16_1.jpg,16
atomic_17_1.jpg,17
atomic_18_1.jpg,18
atomic_19_1.jpg,19
atomic_20_1.jpg,20
atomic_21_1.jpg,21
atomic_22_1.jpg,22
atomic_23_1.jpg,23
atomic_24_1.jpg,24
atomic_25_1.jpg,25
atomic_26_1.jpg,26
atomic_27_1.jpg,27
atomic_28_1.jpg,28
atomic_29_1.jpg,29
atomic_30_1.jpg,30
atomic_31_1.jpg,31
atomic_32_1.jpg,32
atomic_33_1.jpg,33
atomic_34_1.jpg,34
atomic_35_1.jpg,35
atomic_36_1.jpg,36
atomic_0_2.jpg,0
atomic_1_2.jpg,1
atomic_2_2.jpg,2
atomic_4_2.jpg,4
atomic_5_2.jpg,5
atomic_6_2.jpg,6
atomic_7_2.jpg,7
atomic_8_2.jpg,8
atomic_10_2.jpg,10
atomic_14_2.jpg,14
atomic_15_2.jpg,15
atomic_16_2.jpg,16
atomic_17_2.jpg,17
atomic_18_2.jpg,18
atomic_19_2.jpg,19
atomic_20_2.jpg,20
atomic_21_2.jpg,21
atomic_22_2.jpg,22
atomic_23_2.jpg,23
atomic_24_2.jpg,24
atomic_25_2.jpg,25
atomic_26_2.jpg,26
atomic_27_2.jpg,27
atomic_28_2.jpg,28
atomic_29_2.jpg,29
atomic_30_2.jpg,30
atomic_31_2.jpg,31
atomic_32_2.jpg,32
atomic_33_2.jpg,33
atomic_34_2.jpg,34
atomic_35_2.jpg,35
atomic_36_2.jpg,36
atomic_0_3.jpg,0
atomic_1_3.jpg,1
atomic_2_3.jpg,2
atomic_4_3.jpg,4
atomic_5_3.jpg,5
atomic_6_3.jpg,6
atomic_7_3.jpg,7
atomic_8_3.jpg,8
atomic_10_3.jpg,10
atomic_14_3.jpg,14
atomic_15_3.jpg,15
atomic_16_3.jpg,16
atomic_17_3.jpg,17
atomic_18_3.jpg,18
atomic_19_3.jpg,19
atomic_20_3.jpg,20
atomic_21_3.jpg,21
atomic_22_3.jpg,22
atomic_23_3.jpg,23
atomic_24_3.jpg,24
atomic_25_3.jpg,25
atomic_26_3.jpg,26
atomic_27_3.jpg,27
atomic_28_3.jpg,28
atomic_29_3.jpg,29
atomic_30_3.jpg,30
atomic_31_3.jpg,31
atomic_32_3.jpg,32
atomic_33_3.jpg,33
atomic_34_3.jpg,34
atomic_35_3.jpg,35
atomic_36_3.jpg,36
atomic_0_4.jpg,0
atomic_1_4.jpg,1
atomic_2_4.jpg,2
atomic_4_4.jpg,4
atomic_5_4.jpg,5
atomic_6_4.jpg,6
atomic_7_4.jpg,7
atomic_8_4.jpg,8
atomic_10_4.jpg,10
atomic_14_4.jpg,14
atomic_15_4.jpg,15
atomic_16_4.jpg,16
atomic_17_4.jpg,17
atomic_18_4.jpg,18
atomic_19_4.jpg,19
atomic_20_4.jpg,20
atomic_21_4.jpg,21
atomic_22_4.jpg,22
atomic_23_4.jpg,23
atomic_24_4.jpg,24
atomic_25_4.jpg,25
atomic_26_4.jpg,26
atomic_27_4.jpg,27
atomic_28_4.jpg,28
atomic_29_4.jpg,29
atomic_30_4.jpg,30
atomic_31_4.jpg,31
atomic_32_4.jpg,32
atomic_33_4.jpg,33
atomic_34_4.jpg,34
atomic_35_4.jpg,35
atomic_36_4.jpg,36
